# Performance Monitoring Events for the Fifth Generation Intel Core Processors Based on the Broadwell Microarchitecture - V18
# 2/9/2017 12:59:25 PM
# Copyright (c) 2007 - 2016 Intel Corporation. All rights reserved.
BitName	BitIndex	Type	Description	MATRIX_REG	BitsNotCombinedWith	Errata
DEMAND_DATA_RD	0	1	Counts demand data reads	0,1	Null	Null
DEMAND_RFO	1	1	Counts all demand data writes (RFOs)	0,1	Null	BDM115
DEMAND_CODE_RD	2	1	Counts all demand code reads	0,1	Null	Null
COREWB	3	1	Counts writebacks (modified to exclusive)	0,1	Null	Null
PF_L2_DATA_RD	4	1	Counts prefetch (that bring data to L2) data reads	0,1	Null	Null
PF_L2_RFO	5	1	Counts all prefetch (that bring data to L2) RFOs	0,1	Null	BDM115
PF_L2_CODE_RD	6	1	Counts all prefetch (that bring data to LLC only) code reads	0,1	Null	Null
PF_L3_DATA_RD	7	1	Counts all prefetch (that bring data to LLC only) data reads	0,1	Null	Null
PF_L3_RFO	8	1	Counts all prefetch (that bring data to LLC only) RFOs	0,1	Null	Null
PF_L3_CODE_RD	9	1	Counts prefetch (that bring data to LLC only) code reads	0,1	Null	Null
OTHER	15	1	Counts any other requests	0,1	Null	Null
ALL_PF_DATA_RD	4,7	1	Counts all prefetch data reads	0,1	Null	Null
ALL_PF_RFO	5,8	1	Counts prefetch RFOs	0,1	Null	Null
ALL_PF_CODE_RD	6,9	1	Counts all prefetch code reads	0,1	Null	Null
ALL_DATA_RD	0,4,7	1	Counts all demand & prefetch data reads	0,1	Null	Null
ALL_RFO	1,5,8	1	Counts all demand & prefetch RFOs	0,1	Null	BDM115
ALL_CODE_RD	2,6,9	1	Counts all demand & prefetch code reads	0,1	Null	Null
ALL_READS	0,1,2,4,5,6,7,8,9	1	Counts all data/code/rfo reads (demand & prefetch)	0,1	Null	Null
ALL_REQUESTS	0,1,2,3,4,5,6,7,8,9,10,11,15	1	Counts all requests	0,1	Null	Null
ANY_RESPONSE	16	2	have any response type.	0,1	Null	Null
SUPPLIER_NONE	17	3	TBD	0,1	Null	BDM115
L3_HIT_M	18	3	TBD	0,1	163,164,165,166,167,168,169,170,171	Null
L3_HIT_E	19	3	TBD	0,1	163,164,165,166,167,168,169,170,171	Null
L3_HIT_S	20	3	TBD	0,1	163,164,165,166,167,168,169,170,171	Null
L3_HIT_F	21	3	TBD	0,1	163,164,165,166,167,168,169,170,171	Null
L3_HIT	18,19,20,21	3	TBD	0,1	Null	Null
L3_MISS_LOCAL_DRAM	26	3	TBD	0,1	Null	BDM115
L3_MISS	26,27,28,29	3	TBD	0,1	169,170,171	Null
SNOOP_NONE	31	4	TBD	0,1	Null	Null
SNOOP_NOT_NEEDED	32	4	TBD	0,1	Null	Null
SNOOP_MISS	33	4	TBD	0,1	Null	Null
SNOOP_HIT_NO_FWD	34	4	TBD	0,1	Null	Null
SNOOP_HIT_WITH_FWD	35	4	TBD	0,1	Null	Null
SNOOP_HITM	36	4	TBD	0,1	Null	Null
SNOOP_NON_DRAM	37	4	TBD	0,1	Null	Null
ANY_SNOOP	31,32,33,34,35,36,37	4	TBD	0,1	Null	Null
