# Performance Monitoring Events for Intel Xeon Processors Based on the Skylake Microarchitecture - V1.10
# 5/6/2018 12:57:03 AM
# Copyright (c) 2007 - 2017 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	CounterHTOff	SampleAfterValue	MSRIndex	MSRValue	TakenAlone	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	Data_LA	L1_Hit_Indication	Errata	ELLC	Deprecated
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.ANY_RESPONSE	Counts demand data reads that have any response type.	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x0000010001 	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.NO_SNOOP_NEEDED	Counts demand data reads that hit in the L3 and sibling core snoops are not needed as either the core-valid bit is not set or the shared line is present in multiple cores.	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x01003c0001 	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_NO_FWD	Counts demand data reads that hit in the L3 and the snoop to one of the sibling cores hits the line in M state and the line is forwarded.	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x04003c0001 	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	tbd	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x08003c0001 	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE	Counts demand data reads that hit in the L3 and the snoop to one of the sibling cores hits the line in M state and the line is forwarded.	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x10003c0001 	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.ANY_SNOOP	Counts demand data reads that hit in the L3.	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3f803c0001 	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.ANY_SNOOP	Counts demand data reads that miss in the L3.	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3fbc000001 	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.REMOTE_HIT_FORWARD	Counts demand data reads that miss the L3 and clean or shared data is transferred from remote cache.	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x083fc00001 	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.REMOTE_HITM	Counts demand data reads that miss the L3 and the modified data is transferred from remote cache.	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x103fc00001 	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.SNOOP_MISS_OR_NO_FWD	Counts demand data reads that miss the L3 and the data is returned from local or remote dram.	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x063fc00001 	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS_REMOTE_DRAM.SNOOP_MISS_OR_NO_FWD	Counts demand data reads that miss the L3 and the data is returned from remote dram.	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x063b800001 	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS_LOCAL_DRAM.SNOOP_MISS_OR_NO_FWD	Counts demand data reads that miss the L3 and the data is returned from local dram.	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x0604000001 	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_RFO.ANY_RESPONSE	Counts all demand data writes (RFOs) that have any response type.	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x0000010002 	0	0	0	0	0	0	0	0	null	0	0
