# Performance Monitoring Events for Intel® Xeon® Processor Scalable Family based on Skylake microarchitecture - V1.28
# 6/3/2022 4:25:22 PM
# Copyright (c) 2007 - 2017 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	CounterHTOff	SampleAfterValue	MSRIndex	MSRValue	TakenAlone	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	Data_LA	L1_Hit_Indication	Errata	ELLC	Deprecated
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.ANY_RESPONSE	Counts demand data reads that have any response type. 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x10001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.NO_SNOOP_NEEDED	Counts demand data reads that hit in the L3 and sibling core snoops are not needed as either the core-valid bit is not set or the shared line is present in multiple cores. 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x1003C0001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_NO_FWD	Counts demand data reads that hit in the L3 and the snoop to one of the sibling cores hits the line in M state and the line is forwarded. 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x4003C0001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE	Counts demand data reads that hit in the L3 and the snoop to one of the sibling cores hits the line in M state and the line is forwarded. 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x10003C0001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.ANY_SNOOP	Counts demand data reads that hit in the L3. 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3F803C0001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.ANY_SNOOP	Counts demand data reads that miss in the L3. 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3FBC000001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.REMOTE_HIT_FORWARD	Counts demand data reads that miss the L3 and clean or shared data is transferred from remote cache. 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x83FC00001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.REMOTE_HITM	Counts demand data reads that miss the L3 and the modified data is transferred from remote cache. 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x103FC00001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.SNOOP_MISS_OR_NO_FWD	Counts demand data reads that miss the L3 and the data is returned from local or remote dram. 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x63FC00001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS_REMOTE_DRAM.SNOOP_MISS_OR_NO_FWD	Counts demand data reads that miss the L3 and the data is returned from remote dram. 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x63B800001	0	0	0	0	0	0	0	0	null	0	0
