Family-model,Version,Filename,EventType
GenuineIntel-6-2E,V2,/NHM-EX/NehalemEX_core_V2.json,core
GenuineIntel-6-1E,V2,/NHM-EP/NehalemEP_core_V2.json,core
GenuineIntel-6-1F,V2,/NHM-EP/NehalemEP_core_V2.json,core
GenuineIntel-6-1A,V2,/NHM-EP/NehalemEP_core_V2.json,core
GenuineIntel-6-2F,V2,/WSM-EX/WestmereEX_core_V2.json,core
GenuineIntel-6-25,V2,/WSM-EP-SP/WestmereEP-SP_core_V2.json,core
GenuineIntel-6-2C,V2,/WSM-EP-DP/WestmereEP-DP_core_V2.json,core
GenuineIntel-6-37,V14,/SLM/Silvermont_core_V14.json,core
GenuineIntel-6-37,V14,/SLM/Silvermont_matrix_V14.json,offcore
GenuineIntel-6-4D,V14,/SLM/Silvermont_core_V14.json,core
GenuineIntel-6-4D,V14,/SLM/Silvermont_matrix_V14.json,offcore
GenuineIntel-6-4C,V14,/SLM/Silvermont_core_V14.json,core
GenuineIntel-6-4C,V14,/SLM/Silvermont_matrix_V14.json,offcore
GenuineIntel-6-5C,V11,/GLM/goldmont_core_v11.json,core
GenuineIntel-6-5C,V11,/GLM/goldmont_matrix_v11.json,offcore
GenuineIntel-6-1C,V4,/BNL/Bonnell_core_V4.json,core
GenuineIntel-6-26,V4,/BNL/Bonnell_core_V4.json,core
GenuineIntel-6-27,V4,/BNL/Bonnell_core_V4.json,core
GenuineIntel-6-36,V4,/BNL/Bonnell_core_V4.json,core
GenuineIntel-6-35,V4,/BNL/Bonnell_core_V4.json,core
GenuineIntel-6-2A,V15,/SNB/SandyBridge_core_V15.json,core
GenuineIntel-6-2A,V15,/SNB/SandyBridge_matrix_V15.json,offcore
GenuineIntel-6-2A,V15,/SNB/SandyBridge_uncore_V15.json,uncore
GenuineIntel-6-2D,V20,/JKT/Jaketown_core_V20.json,core
GenuineIntel-6-2D,V20,/JKT/Jaketown_matrix_V20.json,offcore
GenuineIntel-6-2D,V20,/JKT/Jaketown_uncore_V20.json,uncore
GenuineIntel-6-3A,V19,/IVB/ivybridge_core_v19.json,core
GenuineIntel-6-3A,V19,/IVB/ivybridge_matrix_v19.json,offcore
GenuineIntel-6-3A,V19,/IVB/ivybridge_uncore_v19.json,uncore
GenuineIntel-6-3E,V20,/IVT/ivytown_core_v20.json,core
GenuineIntel-6-3E,V20,/IVT/ivytown_matrix_v20.json,offcore
GenuineIntel-6-3E,V20,/IVT/ivytown_uncore_v20.json,uncore
GenuineIntel-6-3C,V26,/HSW/haswell_core_v26.json,core
GenuineIntel-6-45,V26,/HSW/haswell_core_v26.json,core
GenuineIntel-6-46,V26,/HSW/haswell_core_v26.json,core
GenuineIntel-6-3C,V26,/HSW/haswell_matrix_v26.json,offcore
GenuineIntel-6-45,V26,/HSW/haswell_matrix_v26.json,offcore
GenuineIntel-6-46,V26,/HSW/haswell_matrix_v26.json,offcore
GenuineIntel-6-3C,V26,/HSW/haswell_uncore_v26.json,uncore
GenuineIntel-6-45,V26,/HSW/haswell_uncore_v26.json,uncore
GenuineIntel-6-46,V26,/HSW/haswell_uncore_v26.json,uncore
GenuineIntel-6-3F,V19,/HSX/haswellx_core_v19.json,core
GenuineIntel-6-3F,V19,/HSX/haswellx_matrix_v19.json,offcore
GenuineIntel-6-3F,V19,/HSX/haswellx_uncore_v19.json,uncore
GenuineIntel-6-3D,V19,/BDW/broadwell_core_v19.json,core
GenuineIntel-6-3D,V19,/BDW/broadwell_matrix_v19.json,offcore
GenuineIntel-6-3D,V19,/BDW/broadwell_uncore_v19.json,uncore
GenuineIntel-6-3D,V19,/BDW/broadwell_fp_arith_inst_v19.json,fp_arith_inst
GenuineIntel-6-47,V19,/BDW/broadwell_core_v19.json,core
GenuineIntel-6-47,V19,/BDW/broadwell_matrix_v19.json,offcore
GenuineIntel-6-47,V19,/BDW/broadwell_uncore_v19.json,uncore
GenuineIntel-6-47,V19,/BDW/broadwell_fp_arith_inst_v19.json,fp_arith_inst
GenuineIntel-6-4F,V12,/BDX/broadwellx_core_v12.json,core
GenuineIntel-6-4F,V12,/BDX/broadwellx_matrix_v12.json,offcore
